"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ko:K00001",960.101603355181,2.69482562872883,0.84585259932024,0.000144090844468538,0.0012362079592896
"ko:K00001,ko:K00008",4.94938199408773,-0.130941203493198,1.01021031497416,0.405065429845671,NA
"ko:K00001,ko:K00043",118.274820390751,1.76664899640916,1.489084997619,0.0226541586942011,0.0642759725680613
"ko:K00001,ko:K00043,ko:K00217,ko:K13954",0,NA,NA,NA,NA
"ko:K00001,ko:K00043,ko:K13954",6.17589700420321,0.0484208976938609,0.985868664507146,0.862018288217481,NA
"ko:K00001,ko:K00055,ko:K00121",0,NA,NA,NA,NA
"ko:K00001,ko:K00068,ko:K01629",30.6944292608893,-0.440469743429119,1.05241929946987,0.276931637490533,0.427203853196241
"ko:K00001,ko:K00086",0,NA,NA,NA,NA
"ko:K00001,ko:K00121",46.1072534089806,-1.72845977909522,1.45594829728144,0.0240203200917793,0.067487890888144
"ko:K00001,ko:K00217,ko:K13954",16.9208258448272,0.108519506309493,0.954193594434195,0.769481911752746,0.855551500750546
"ko:K00001,ko:K00344",52.4743101343979,-0.917521508570641,1.28278709534797,0.100837976974678,0.20187804229845
"ko:K00001,ko:K07119",25.8777123140899,-0.586983515099872,1.07023677292388,0.225892535804554,0.36969299809365
"ko:K00001,ko:K12957",0,NA,NA,NA,NA
"ko:K00001,ko:K13953",135.784391567044,2.01129345451708,1.61895430201745,NA,NA
"ko:K00001,ko:K13954",0,NA,NA,NA,NA
"ko:K00001,ko:K14446",16.9470506362103,0.313210762032166,1.08783740402175,NA,NA
"ko:K00001,ko:K19745",9.46896803597028,0.0613941192887563,0.988053297526142,0.822370650876543,0.890888107955502
"ko:K00003",539.01436850686,3.23642076821138,0.818078708127857,6.3418197950293e-06,0.000107537367818458
"ko:K00003,ko:K00058",33.7585218511506,-0.407659767222819,1.10556998212049,0.147367993845774,0.26684221331203
"ko:K00003,ko:K12524",2885.06538722157,0.505617009545885,0.530322967621861,0.267983107825364,0.416819769149954
"ko:K00004",69.2505201119239,0.287033333896128,0.814065662723726,0.581495611026133,0.720454734119484
"ko:K00004,ko:K00008",8.48692939427594,-0.372591694261699,1.06018953751798,0.216612053958997,0.357902377271189
"ko:K00004,ko:K00008,ko:K00098",0,NA,NA,NA,NA
"ko:K00004,ko:K00060",0,NA,NA,NA,NA
"ko:K00004,ko:K00098",0,NA,NA,NA,NA
"ko:K00004,ko:K00102",42.4742340874801,-0.721980520117759,1.22580092114673,0.127117257622917,0.24012888683333
"ko:K00004,ko:K07538",0,NA,NA,NA,NA
"ko:K00005",6.50847770114827,-0.211682621118973,1.05024376808976,0.177794181712437,NA
"ko:K00006",3.55191752949445,-0.166679318764369,1.02495873959057,0.452948968435914,NA
"ko:K00007",0,NA,NA,NA,NA
"ko:K00008",307.417497472347,-0.0725466181516423,0.781038980973894,0.877533444472644,0.928584803121329
"ko:K00008,ko:K00060",0,NA,NA,NA,NA
"ko:K00008,ko:K00148",0.274552784210118,-0.132388002729962,1.01923202002933,0.858804925373129,NA
