"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ko:K00001",4.13166732335938,0.222637800580715,1.05467933565192,0.101279296546519,NA
"ko:K00001,ko:K00121",4.359845272441,-0.20123205837444,1.04457015498624,0.252236850568032,NA
"ko:K00001,ko:K00344",35.2518744010999,-0.5688715913466,1.12149817427524,0.193391833362409,0.424678012451237
"ko:K00001,ko:K07119",22.0507690101142,-0.525180257405947,1.09248352895899,0.224348169346252,0.470407451855045
"ko:K00001,ko:K13953",20.8222930525744,-0.313630833848131,0.977852997599318,0.439869911614866,0.660312800345641
"ko:K00003",12.7854327307735,-0.240096799228058,1.00313075962392,0.433491938181989,0.658212326217703
"ko:K00004,ko:K00102",13.4293117793217,-0.431110897077215,1.1357994233428,0.112665964994235,0.324039279850676
"ko:K00005",0,NA,NA,NA,NA
"ko:K00012",43.7376183949835,0.544880545828637,1.15977611151261,0.14598397426718,0.369844273389092
"ko:K00013",11.9351138813308,-0.0580290478335169,0.956195660123407,0.857228450258364,0.914940053641932
"ko:K00014",0.209943923568649,0.163981654436441,1.0274420483389,0.415924821923742,NA
"ko:K00015",501.076876228652,0.973678934847959,1.73399881208455,NA,NA
"ko:K00018,ko:K00058",10.0807161510433,-0.233396134721813,1.01966282271894,0.207884782306559,NA
"ko:K00019",7.75593690525356,0.302685905836296,1.08662215202019,NA,NA
"ko:K00019,ko:K18335",0,NA,NA,NA,NA
"ko:K00020",30.3314838961479,-0.166464244950011,0.926614042632907,0.682449744010442,0.827521876828819
"ko:K00020,ko:K00042",12.2268861673946,-0.197964477231676,0.988929545431622,0.544729491655939,0.73765451995075
"ko:K00020,ko:K01692",8.23659622015424,-0.097172195436316,0.955862352294265,0.778614703289864,NA
"ko:K00023",8.20068748425663,-0.322780305522639,1.08972721531075,NA,NA
"ko:K00024",62.450606297818,0.280842010996619,0.933468108295052,0.536533043199379,0.734203111746518
"ko:K00027,ko:K00029",107.689723021469,-0.353748142257739,0.961283787572267,0.419562803526205,0.649323386409603
"ko:K00029",22.8717622282296,0.0061121831555614,0.947511024156418,NA,NA
"ko:K00031",19.8716981845269,0.169675443865784,0.947994741487377,0.669195527481464,0.819165899930229
"ko:K00033",9.11550130930341,-0.0520133021087035,0.964577643403739,0.865160924123661,NA
"ko:K00034",8.22386488266402,-0.0114126469110572,0.971819089742838,0.961274447498168,NA
"ko:K00036",4.29463475040057,0.257937037619605,1.06228261954006,0.126157337607119,NA
"ko:K00038",0,NA,NA,NA,NA
"ko:K00046",1.15976626620614,0.211220585665083,1.04861012356465,0.212555718124977,NA
"ko:K00046,ko:K00065",1.99060477887292,-0.186341064759608,1.0378136400106,0.394031733812991,NA
"ko:K00052",533.301946198866,1.30265987222117,2.60856109983548,NA,NA
"ko:K00053",409.543000172544,1.17620462123529,1.71827756974298,0.0444282773519695,0.203368875202677
"ko:K00054",0,NA,NA,NA,NA
"ko:K00057",6.88611220559896,0.287510066540542,1.07973636732806,NA,NA
"ko:K00058",258.488253683512,3.59314733628444,3.34145941494973,0.00357028491856621,0.0616560508985587
"ko:K00059",54.3103603756518,-0.548181805451885,1.13946518309468,0.17223872663697,0.398416983323952
"ko:K00065",22.236039436596,-0.511122353390963,1.1212549734409,0.190987275142402,0.421354905856434
"ko:K00067",14.4115225332724,-0.55785998463265,1.21982046512679,0.0719578517806059,0.262767436277493
"ko:K00073,ko:K13574",11.1542387089406,-0.209975056106857,0.983286897047617,0.544725199969374,0.73765451995075
"ko:K00074",15.2419669445342,-0.0412208305492553,0.942295387355174,0.902347945957954,0.936942755387652
"ko:K00075",302.961452289424,0.558328378362676,1.25193540957616,NA,NA
"ko:K00075,ko:K01921",17.104293168071,-0.285144369339455,0.992603900668504,0.437373141884955,0.659611466879863
"ko:K00077",106.673752049236,0.411983872663901,0.982860571014345,0.37236601713523,0.619096680157457
"ko:K00088,ko:K00364",1.08728087456826,0.210393815500164,1.04816250824603,0.218948565035522,NA
"ko:K00097",5.72036014047888,-0.113193772313337,0.993296566402358,0.699618073812111,NA
"ko:K00099",9.05217331455919,-0.292971746594272,1.0548761265523,NA,NA
"ko:K00101",28.3676219449799,0.16326230973146,0.953063447391315,0.674094422996374,0.820526919377609
"ko:K00101,ko:K16422",0,NA,NA,NA,NA
"ko:K00102",12.4080575296415,-0.399360450225801,1.13187121090422,0.0422452383589568,0.196138606666585
"ko:K00104",17.896433030284,-0.431101996009149,1.12523189388088,0.146799726975978,0.369844273389092
