"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ko:K00001",1.69384354433516,-0.182593270035404,1.03699826300548,0.385857792144103,NA
"ko:K00003,ko:K12524",2.83473321172682,0.21962623518483,1.05307517233712,0.140117039845743,NA
"ko:K00004",10.1934492594698,-0.0176606797438618,0.959653883282388,0.949080955783615,NA
"ko:K00005",9.0876179802555,-0.324167510070607,1.09090650719627,0.0674206116160546,NA
"ko:K00013",91.4200494026781,-0.355161717666942,0.981921016988537,0.401575947786663,0.814804167464182
"ko:K00014",20.9184275622971,-0.150533909089365,0.982140413208444,0.623870507857763,0.872364141487034
"ko:K00016,ko:K00024",1.8314428164025,-0.0457333974139012,0.988650629877636,0.944604527915679,NA
"ko:K00020",0,NA,NA,NA,NA
"ko:K00024",15.1757220072849,0.163459039528104,0.986162725421955,0.611488075305625,NA
"ko:K00027",5.62205018770757,0.000322785436743663,0.976945838130677,0.999713581331823,NA
"ko:K00031",1.95854294628398,0.216375910535337,1.05134004159837,0.169910466666494,NA
"ko:K00033",86.9316082176969,0.278667711662632,0.971269895442236,0.497368591201133,0.83416139441848
"ko:K00036",3.35013925022261,0.220895781258933,1.05374038283644,0.125927485557698,NA
"ko:K00038",0,NA,NA,NA,NA
"ko:K00052",6.0177407950974,-0.00650271864059841,0.976644533254719,0.978972168282603,NA
"ko:K00053",11.1897143823255,-0.282748493906424,1.04449936657087,0.331222177719517,NA
"ko:K00057",6.39603881946906,-0.122188410909163,0.995454064558994,0.678895915890112,NA
"ko:K00058",13.8226584098292,0.142732548254154,0.96828782208408,NA,NA
"ko:K00059",9.81370265806742,0.0269577452184711,0.964994553366092,NA,NA
"ko:K00067",4.83082399645851,-0.0795144399820015,0.987052425623244,0.803456017381332,NA
"ko:K00075",15.9127297802803,-0.416836626309553,1.09267918501151,0.221493052356924,NA
"ko:K00077",1.11187593935693,-0.17290268468302,1.03385349288204,0.478576387774271,NA
"ko:K00082",14.9316245245416,-0.397345225789318,1.10092342920793,0.188592343867067,NA
"ko:K00088",245.623388275093,0.0895991832347239,0.895191032187207,0.850315660361955,0.978239255283665
"ko:K00099",1.85546173858483,0.215833452007747,1.05104938111329,0.174577439556013,NA
"ko:K00103",1.71835372446071,-0.182821541725246,1.03708026734806,0.383339869800458,NA
"ko:K00111",236.656309301097,-0.503777153276765,1.05760075963586,0.249505424888996,0.688252631718551
"ko:K00116",65.220189550389,0.440966955243851,1.13434768630096,0.119481790491263,0.657795676119682
"ko:K00133",8.06485351692872,-0.150376962881998,1.00305150349326,0.595692467914512,NA
"ko:K00134",90.719065722067,0.17943039689051,0.91585023264034,0.687603824628384,0.907497433519695
"ko:K00135",41.7758937190529,-0.016142590261649,0.942950658496149,0.953134290212289,0.985695414378158
"ko:K00138,ko:K18370",56.5531456173835,0.125068521687422,0.957475892598054,NA,NA
"ko:K00145",5.24663331420224,-0.0328466033537253,0.979356276932102,0.92015355135434,NA
"ko:K00147",141.211365806554,0.343437187608519,1.0308460663324,0.346073670559423,0.772331926590741
"ko:K00156,ko:K00158",6.85412928594875,-0.302502448763136,1.07975803811485,0.0940185807672713,NA
"ko:K00161,ko:K00166",12.1635825085005,0.302486672265799,1.08692449948778,NA,NA
"ko:K00162",25.7518952328193,0.457439206256916,1.16598445148091,0.0470686481546365,0.48951394080822
"ko:K00163",96.4790974328185,0.0609060571521949,0.902603719550194,0.898135793658305,0.985695414378158
"ko:K00164,ko:K01616",116.595648465944,-0.122731948053627,0.930429232495878,NA,NA
"ko:K00208,ko:K11611",66.7260375415781,0.491112851701722,1.14476697358443,0.143406338893833,0.668461673235134
"ko:K00210,ko:K04517",0,NA,NA,NA,NA
"ko:K00215",4.52158037336104,-0.100055845357566,0.992705041848615,0.749866331336644,NA
"ko:K00216",1.39159630393862,0.212727515655161,1.04936008371688,0.200711740192501,NA
"ko:K00226",0,NA,NA,NA,NA
"ko:K00226,ko:K00254",1.23697449238989,0.209883561382167,1.04815125834185,0.212028032392421,NA
"ko:K00231",7.61383057532763,-0.491609894005466,1.18119662212623,0.0572301741730844,NA
"ko:K00232",38.4956269632249,0.0785227397729697,0.956647720707604,0.831103308577067,0.970418273570006
"ko:K00239,ko:K00278",12.5538523244842,0.0550276808952806,0.930914421697904,0.894748400239018,NA
