	Root241	Root381	Root105	Root236	Root179	Root495	Root68	Root1257	Root480	Root107	Root630	Root916	Root181	Root670	Root11	Root1472	Root1238	Root1471	Root491	Root569	Root685	Root1304	Root935	Root482	Root552	Root149	Root154	Root431	Root74	Root133	Root444D2	Root100	Root240	Root22	Root53	Root558	Root1298	Root920	Root1252	Root710	Root559	Root1280	Root101	Root102	Root1464	Root278	Root157	Root667	Root172	Root1203	Root190	Root170	Root265	Root1277	Root180	Root1455	Root186	Root70	Root635	Root954	Root61	Root1212	Root1295	Root423	Root456	Root322	Root1220	Root1293	Root136	Root332	Root564	Root318D1	Root122	Root217	Root123D2	Root1310	Root189	Root1240	Root614	Root1294	Root1433D1	Root151	Root1312	Root198D2
ko:K00003	Root241|108	Root381|2645,Root381|4595	Root105|1655											Root670|292	Root11|1653,Root11|5104,Root11|5387	Root1472|1478	Root1238|1129	Root1471|1315	Root491|2949,Root491|3513		Root685|1119			Root482|1793	Root552|3908	Root149|1557,Root149|4508	Root154|2766		Root74|5720	Root133|3633	Root444D2|2142,Root444D2|2680	Root100|3558				Root558|3265	Root1298|4099	Root920|932	Root1252|4964	Root710|436				Root102|3823		Root278|4164,Root278|4437	Root157|301,Root157|2561		Root172|2078,Root172|2939	Root1203|1352		Root170|2056		Root1277|1222		Root1455|2624		Root70|2073,Root70|4215	Root635|3064	Root954|3739		Root1212|3679,Root1212|4264,Root1212|4279		Root423|6029			Root1220|622				Root564|1409	Root318D1|2071,Root318D1|2225		Root217|833,Root217|3366	Root123D2|1544,Root123D2|3140		Root189|4022	Root1240|1032,Root1240|3656		Root1294|2548			Root1312|5579	Root198D2|336
ko:K00012	Root241|967,Root241|1083	Root381|263	Root105|1788	Root236|3011	Root179|3340	Root495|3036	Root68|3585	Root1257|1472	Root480|528	Root107|681,Root107|4871	Root630|1933	Root916|948	Root181|4244	Root670|2345	Root11|3777,Root11|3845	Root1472|2215	Root1238|2293	Root1471|321	Root491|4521	Root569|3224	Root685|2419	Root1304|4992	Root935|149,Root935|1679	Root482|3181	Root552|2064,Root552|3959	Root149|1718	Root154|38,Root154|732	Root431|3780	Root74|2727	Root133|2487,Root133|5981	Root444D2|3056,Root444D2|6613	Root100|3175,Root100|4389,Root100|4390,Root100|4502,Root100|4905	Root240|1932		Root53|809	Root558|2198	Root1298|2806	Root920|573,Root920|635	Root1252|2685	Root710|1120	Root559|1747	Root1280|1206,Root1280|2865	Root101|1509	Root102|632,Root102|1670	Root1464|2150	Root278|1904		Root667|2560	Root172|1753	Root1203|3261,Root1203|5546	Root190|1192	Root170|5113	Root265|229,Root265|3921	Root1277|473	Root180|199	Root1455|831,Root1455|2381	Root186|617,Root186|1504		Root635|998	Root954|1264	Root61|3115	Root1212|3486	Root1295|2847,Root1295|3786	Root423|2856	Root456|2820	Root322|724	Root1220|3856	Root1293|3302	Root136|4270,Root136|5594		Root564|3784		Root122|108		Root123D2|3476	Root1310|1442,Root1310|7804	Root189|2984	Root1240|181	Root614|1594	Root1294|2680,Root1294|4165	Root1433D1|1967	Root151|1102,Root151|1715,Root151|3904	Root1312|3024	
ko:K00013	Root241|555	Root381|641	Root105|1583,Root105|1816,Root105|3894	Root236|208	Root179|3162	Root495|1077	Root68|4111	Root1257|650	Root480|472	Root107|4680	Root630|2090	Root916|569	Root181|3303	Root670|545,Root670|1069	Root11|1154	Root1472|2982	Root1238|3087	Root1471|3541	Root491|944	Root569|330	Root685|1057,Root685|3969	Root1304|1883	Root935|3053	Root482|4310	Root552|1427	Root149|2214	Root154|1283	Root431|2304	Root74|3472	Root133|5053	Root444D2|5584	Root100|1690	Root240|235	Root22|753	Root53|1217	Root558|1732	Root1298|3161	Root920|712	Root1252|397	Root710|3546	Root559|2971		Root101|2876	Root102|1779,Root102|4547	Root1464|1277	Root278|523	Root157|2403	Root667|3593	Root172|950,Root172|1107,Root172|5596	Root1203|90	Root190|2574	Root170|5154	Root265|262	Root1277|3765	Root180|941	Root1455|4346	Root186|4354	Root70|418	Root635|2086	Root954|2163	Root61|123	Root1212|840	Root1295|4713	Root423|1059	Root456|2108	Root322|95	Root1220|39	Root1293|506	Root136|6017	Root332|2335	Root564|2187	Root318D1|1767	Root122|3746	Root217|1504	Root123D2|2862	Root1310|331	Root189|3147	Root1240|1231,Root1240|4329	Root614|209	Root1294|4342	Root1433D1|1343	Root151|1906	Root1312|3377	Root198D2|715
ko:K00014	Root241|2238	Root381|3316,Root381|3784,Root381|4311,Root381|4932	Root105|627,Root105|4300	Root236|712	Root179|83	Root495|1213	Root68|2858,Root68|4346,Root68|4604	Root1257|3137,Root1257|4514	Root480|2146	Root107|1492,Root107|3350	Root630|3209	Root916|2977	Root181|2777	Root670|1989,Root670|3399,Root670|3415,Root670|3416,Root670|3421,Root670|4123,Root670|5054	Root11|4603	Root1472|4847	Root1238|3229,Root1238|4926	Root1471|1592,Root1471|2849	Root491|2434,Root491|3427	Root569|2522,Root569|3896,Root569|4515	Root685|2247,Root685|3818	Root1304|3975	Root935|3619	Root482|3864,Root482|4234	Root552|3764	Root149|3660,Root149|4268,Root149|4816	Root154|2970	Root431|3935	Root74|2124,Root74|4037	Root133|1122,Root133|2787	Root444D2|706	Root100|3199	Root240|4248	Root22|2332	Root53|2106	Root558|2703,Root558|3542	Root1298|2119,Root1298|4773	Root920|234,Root920|2615	Root1252|1843,Root1252|4291	Root710|3484	Root559|2077	Root1280|3092	Root101|1397	Root102|803	Root1464|1675,Root1464|2907	Root278|1477,Root278|3532	Root157|2614,Root157|3669	Root667|144	Root172|3724	Root1203|1947,Root1203|2334	Root190|2336,Root190|3838	Root170|3801,Root170|4365	Root265|62,Root265|1175,Root265|5346	Root1277|2877	Root180|1137	Root1455|3756	Root186|2944	Root70|239,Root70|1167	Root635|700,Root635|3040	Root954|4637,Root954|6933	Root61|552	Root1212|2333	Root1295|2522	Root423|4809,Root423|6433	Root456|1014	Root322|399,Root322|2283	Root1220|1188,Root1220|3024	Root1293|579	Root136|958	Root332|2170	Root564|1136,Root564|4280	Root318D1|407,Root318D1|1096,Root318D1|2492,Root318D1|2496	Root122|4153	Root217|299,Root217|3561	Root123D2|2659	Root1310|4093,Root1310|6240,Root1310|7061	Root189|3501	Root1240|3045	Root614|2841	Root1294|1234	Root1433D1|1647,Root1433D1|3266	Root151|2174	Root1312|2174,Root1312|4519	Root198D2|2169
ko:K00015	Root241|1780	Root381|4803	Root105|563							Root107|540				Root670|2285,Root670|4317		Root1472|5017		Root1471|191	Root491|1340		Root685|3256		Root935|2210	Root482|3102	Root552|2196	Root149|1853	Root154|409		Root74|582		Root444D2|832	Root100|2886,Root100|3870	Root240|587,Root240|1726			Root558|1256	Root1298|581		Root1252|867	Root710|1575				Root102|5089		Root278|50	Root157|774		Root172|1987	Root1203|3544	Root190|4400	Root170|2856		Root1277|2912		Root1455|3800			Root635|477	Root954|2675		Root1212|1367		Root423|2400			Root1220|581				Root564|3224				Root123D2|850,Root123D2|3700			Root1240|1571		Root1294|2179			Root1312|580	
ko:K00019	Root241|2751	Root381|2976	Root105|279,Root105|3451		Root179|834		Root68|1135		Root480|2533	Root107|5395	Root630|2843	Root916|2373	Root181|2860	Root670|3194	Root11|2318	Root1472|4177	Root1238|1177	Root1471|2490	Root491|2532,Root491|4507	Root569|4705		Root1304|2814		Root482|1281	Root552|369	Root149|766	Root154|3371	Root431|1071	Root74|4837	Root133|2973,Root133|3151	Root444D2|5405	Root100|980			Root53|1425	Root558|4580	Root1298|5414		Root1252|6048	Root710|3856	Root559|613	Root1280|3608	Root101|3992	Root102|1271,Root102|2900		Root278|1976	Root157|470	Root667|1007	Root172|4404	Root1203|4213		Root170|1571	Root265|3834	Root1277|373	Root180|1477	Root1455|335		Root70|4462		Root954|5092	Root61|774	Root1212|613	Root1295|4409	Root423|4919		Root322|2186	Root1220|2149,Root1220|3424	Root1293|2917	Root136|3710		Root564|2333	Root318D1|3865,Root318D1|3946	Root122|4244	Root217|2116,Root217|5801	Root123D2|3297	Root1310|4569	Root189|783	Root1240|2314		Root1294|1520	Root1433D1|3172		Root1312|5160	Root198D2|1733
ko:K00020	Root241|767	Root381|627,Root381|725,Root381|915					Root68|112,Root68|3962,Root68|4788	Root1257|290,Root1257|3968		Root107|3232		Root916|3980	Root181|1509	Root670|1051,Root670|3588	Root11|2306	Root1472|1514,Root1472|3134		Root1471|834,Root1471|1400	Root491|3835,Root491|4505	Root569|4189		Root1304|1525		Root482|3423,Root482|3758,Root482|4988	Root552|1925,Root552|3293	Root149|3432,Root149|3532	Root154|877,Root154|3936	Root431|206	Root74|2242,Root74|2571,Root74|6659		Root444D2|1637,Root444D2|3034	Root100|95,Root100|596,Root100|3423,Root100|3424		Root22|1957	Root53|1125	Root558|4075,Root558|6139	Root1298|2237,Root1298|2649,Root1298|6668	Root920|1530	Root1252|4187,Root1252|4399	Root710|501,Root710|2177	Root559|1173	Root1280|422,Root1280|749,Root1280|3255		Root102|3299,Root102|3537	Root1464|937	Root278|1023,Root278|1199	Root157|1359,Root157|3121	Root667|1798	Root172|1261,Root172|3085,Root172|5517	Root1203|2878,Root1203|6254		Root170|546,Root170|2291	Root265|1452,Root265|3500,Root265|5430,Root265|5732	Root1277|1190	Root180|561,Root180|2343	Root1455|591,Root1455|2658		Root70|1071,Root70|1583		Root954|113,Root954|1876,Root954|3371	Root61|1956	Root1212|3485	Root1295|6959	Root423|2136,Root423|2346	Root456|2917,Root456|3574	Root322|1768	Root1220|1707		Root136|4124	Root332|155,Root332|718	Root564|2698	Root318D1|302,Root318D1|2571		Root217|1286,Root217|3662	Root123D2|1759,Root123D2|1880	Root1310|4594,Root1310|7057	Root189|2006,Root189|4984	Root1240|424		Root1294|623,Root1294|1618,Root1294|3093	Root1433D1|838		Root1312|2338,Root1312|2868,Root1312|6723	
ko:K00023	Root241|410	Root381|2056			Root179|390,Root179|2028				Root480|238,Root480|338		Root630|2130,Root630|2132	Root916|516,Root916|518		Root670|3267	Root11|1066	Root1472|3705	Root1238|3270	Root1471|2997	Root491|2366					Root482|2323	Root552|463	Root149|3201	Root154|2434		Root74|2037	Root133|795,Root133|2475		Root100|965				Root558|2792	Root1298|2031		Root1252|3815	Root710|1544	Root559|2857,Root559|2859			Root102|1266		Root278|3218	Root157|408	Root667|3219,Root667|3221	Root172|4230	Root1203|2057		Root170|1657,Root170|1880,Root170|3036		Root1277|600		Root1455|369		Root70|1518		Root954|4723		Root1212|2167		Root423|1740			Root1220|1311				Root564|4351	Root318D1|241,Root318D1|2075		Root217|5859	Root123D2|3606		Root189|364,Root189|2094	Root1240|3261		Root1294|2195			Root1312|2086	Root198D2|5573
ko:K00024	Root241|356	Root381|2992	Root105|1002	Root236|1542	Root179|1931	Root495|2452		Root1257|5160	Root480|1304	Root107|784	Root630|3832	Root916|38	Root181|4236	Root670|3210		Root1472|4858	Root1238|4754	Root1471|2811	Root491|2238		Root685|1946	Root1304|368	Root935|3922	Root482|4119	Root552|405	Root149|3066	Root154|2215	Root431|4330	Root74|1898	Root133|3685		Root100|1216	Root240|3053	Root22|1305,Root22|3837		Root558|2931	Root1298|1892		Root1252|3674	Root710|1666	Root559|3834		Root101|1020	Root102|919	Root1464|2579	Root278|3358	Root157|454	Root667|3863	Root172|3877	Root1203|2197	Root190|1669	Root170|1841		Root1277|3958	Root180|2824	Root1455|2111	Root186|1900	Root70|4381	Root635|3127	Root954|4863	Root61|2329	Root1212|2067	Root1295|752	Root423|1879	Root456|1157	Root322|2768	Root1220|1454	Root1293|2052			Root564|4183,Root564|4484	Root318D1|2030	Root122|3023	Root217|2608	Root123D2|3955	Root1310|2314	Root189|742	Root1240|3309	Root614|1317	Root1294|281	Root1433D1|2483	Root151|4073	Root1312|1947	Root198D2|387
ko:K00029	Root241|2703	Root381|204,Root381|3950	Root105|1285		Root179|1366				Root480|2704		Root630|1797	Root916|2784		Root670|624,Root670|4178		Root1472|660,Root1472|4785	Root1238|2475	Root1471|912,Root1471|2870	Root491|1542,Root491|3008		Root685|620,Root685|2018			Root482|158,Root482|2838	Root552|2451,Root552|2761	Root149|1197,Root149|2064	Root154|2921		Root74|876,Root74|1246	Root133|2804,Root133|4339,Root133|4701		Root100|1522,Root100|4072				Root558|774,Root558|1549	Root1298|875,Root1298|1211		Root1252|578,Root1252|1610	Root710|3371,Root710|3515	Root559|1146			Root102|1731,Root102|3925		Root278|341,Root278|4927,Root278|6647	Root157|2346,Root157|3470	Root667|1674	Root172|1811,Root172|4586	Root1203|1091,Root1203|3393		Root170|1855,Root170|3499,Root170|3500,Root170|3501,Root170|3643,Root170|3645		Root1277|1735,Root1277|2784		Root1455|2143,Root1455|4240		Root70|620,Root70|1263	Root635|3478	Root954|2384,Root954|6029		Root1212|1092,Root1212|2958		Root423|773,Root423|874			Root1220|213,Root1220|997				Root564|643,Root564|3511	Root318D1|236,Root318D1|1628,Root318D1|3153		Root217|3414,Root217|4288	Root123D2|1641		Root189|2851,Root189|3018	Root1240|1389,Root1240|1891		Root1294|1262,Root1294|3983			Root1312|874,Root1312|1209	Root198D2|4751
