RetainedTxp	DuplicateTxp
Fusarium13|14273001621	Fusarium226|7001786
Fusarium216|3568200457	Fusre1|689389
Fusarium216|1100837	Fusre1|506612
Root1298|474	Root1312|474
Root1298|474	Root74|474
Root1298|474	Root954|5706
Ilyeu1|670143	Neora1|712529
Plecto143|900142	Plecto143|900135
Fusarium13|4300583	Fusarium226|3100593
Root1298|185	Root1312|185
Root1298|185	Root74|185
Root1298|185	Root954|5417
Root1298|5435	Root1312|5181
Root1298|5435	Root74|4858
Root1298|5435	Root954|5113
Plecto143|836006	Plecto143|13020034
Root1298|5839	Root1312|2567
Root1298|5839	Root74|5487
Root1298|5839	Root954|4309
Fusarium13|1700594	Fusarium226|20700585
Fusarium216|5800255	Fusre1|523700
Root1298|4026	Root1312|5652
Root1298|4026	Root74|5793
Root1298|4026	Root954|3812
Fusarium13|300410	Fusarium226|1000347
Root1298|6309	Root1312|6253
Root1298|6309	Root74|6188
Root1298|6309	Root954|6557
Fusarium216|1001071	Fusre1|498177
Root423|1875	Root558|2927
Root1298|6557	Root1312|6667
Root1298|6557	Root74|6547
Fusarium216|2600140	Fusre1|645919
Root423|3639	Root558|4455
Root1298|3369	Root1312|3714
Root1298|3369	Root74|3017
Root1298|3369	Root954|1149
Root1298|754	Root1312|753
Root1298|754	Root74|755
Root1298|754	Root954|2504
Verdah1|117960	Verdah1|161121
Fusarium13|2000934	Fusarium226|1800299
Fusarium13|1700775	Fusarium226|20700767
Fusarium216|3569300591	Fusre1|664145
Root423|5819	Root558|864
Root1298|175	Root1312|175
Root1298|175	Root74|175
Root1298|175	Root954|5407
Root423|4717	Root558|6473
Root1298|416	Root1312|416
Root1298|416	Root74|416
Root1298|416	Root954|5648
Root1298|1404	Root1312|1459
Root1298|1404	Root74|1580
Root1298|1404	Root954|1612
Fusarium216|1001330	Fusre1|38287
Fusarium13|170094	Fusarium226|2070095
Fusarium13|2600409	Fusarium226|4000671
Mictri1|353338	Mictri1|355348
Fusarium216|2800434	Fusre1|517367
Fusarium13|14270001645	Fusarium226|210001628
Fusarium13|3001234	Fusarium226|10001152
Fusarium216|690076	Fusre1|680903
Fusarium216|3568000520	Fusre1|633545
Fusarium216|2800480	Fusre1|575295
Fusarium216|2200213	Fusre1|512330
Plecto143|74620065	Plecuc1|15144
Fusarium233|3900350	Fuseq1|418469
Root1298|834	Root1312|833
Root1298|834	Root74|835
Root1298|834	Root954|2425
Root423|203	Root558|206
Root1433D1|1093	Root322|2020
Plecto143|74320063	Plecuc1|354590
Root423|5677	Root558|4851
Root1298|4891	Root1312|4636
Root1298|4891	Root74|4154
Root1298|4891	Root954|4438
Root1298|4124	Root1312|5554
Root1298|4124	Root74|5695
Root1298|4124	Root954|3714
Fusarium216|3568000352	Fusre1|553664
Root1298|4581	Root1312|4327
Root1298|4581	Root74|3844
Root1298|4581	Root954|431
Fusarium216|2600437	Fusarium216|2600427
Fusarium226|207001534	Fusarium226|3400641
Fusarium216|2200431	Fusre1|371186
Fusarium13|2300535	Fusarium226|3000494
Root423|1926	Root558|2978
Fusarium216|400031	Fusre1|654309
Plecto143|856990043	Plecuc1|91144
Plecto143|1300021	Plecto143|741300135
Plecto143|75520013	Plecuc1|327057
Root1298|4045	Root1312|5633
Root1298|4045	Root74|5774
Root1298|4045	Root954|3793
Fusarium216|410080	Fusre1|497320
Fusarium13|300399	Fusarium226|1000336
Root1298|798	Root1312|797
Root1298|798	Root74|799
Root1298|798	Root954|2460
Plecto143|74890098	Plecto143|2859005
Plecto143|17620056	Plecuc1|239363
Root1298|4360	Root1312|4107
Root1298|4360	Root74|3623
Root1298|4360	Root954|3050
Fusarium216|800607	Fusre1|278468
Fusarium216|2800386	Fusre1|692759
Fusarium216|600134	Fusre1|672451
Fusarium13|1400429	Fusarium226|21600311
Fusarium216|450064	Fusre1|74448
Root1298|6256	Root1312|6117
Root1298|6256	Root74|5338
Root1298|6256	Root954|747
Root1298|4462	Root1312|4209
Root1298|4462	Root74|3725
Root1298|4462	Root954|2948
Fusarium13|1427300998	Fusarium226|7001171
Fusarium216|4100355	Fusre1|632728
Root1298|6093	Root1312|6211
Root1298|6093	Root74|1438
Root1298|6093	Root954|3467
Plecto143|6620031	Plecto143|670004
Plecto143|3420031	Plecuc1|323648
Root1298|2917	Root1312|3135
Root1298|2917	Root74|2838
Root1298|2917	Root954|1375
Fusarium226|20700421	Fusarium226|300083
Fusarium226|20700421	Fusarium226|7001923
Fusarium226|20700421	Fusarium226|30001115
Fusarium226|20700421	Fusarium226|7002
Fusarium226|20700421	Fusarium226|207001574
Fusarium226|20700421	Fusarium226|5001803
Fusarium226|20700421	Fusarium226|31001129
Fusarium226|20700421	Fusarium226|21200189
Fusarium226|20700421	Fusarium226|211005
Fusarium226|20700421	Fusarium226|21600164
Fusarium226|20700421	Fusarium226|18001077
Root1298|3934	Root1312|5744
Root1298|3934	Root74|5885
Root1298|3934	Root954|3904
Fusarium13|1400211	Fusarium226|21600103
Fusarium13|2600427	Fusarium226|4000652
Plecto143|836005	Plecto143|13020033
Plecto143|836005	Plecuc1|52920
Fusarium216|1100585	Fusre1|563240
Fusarium216|600780	Fusre1|590416
Fusarium13|3100420	Fusarium226|3400428
Root423|3633	Root558|4449
Root1298|1630	Root1312|1685
Root1298|1630	Root74|6956
Root1298|1630	Root954|6321
Root1298|3900	Root1312|6524
Root1298|3900	Root74|5919
Root1298|3900	Root954|3386
Fusarium216|400077	Fusre1|582925
Root423|768	Root558|769
Plecto143|3975001	Plecto143|85783001
Plecto143|3975001	Plecto143|7546001
Plecto143|3975001	Plecto143|7616005
Root1298|2769	Root1312|2987
Root1298|2769	Root74|2690
Root1298|2769	Root954|1227
Fusarium13|1427500919	Fusarium226|5001124
Root423|167	Root558|170
Root423|4536	Root558|1189
Fusarium216|1001353	Fusre1|551008
Fusarium13|1427000797	Fusarium226|21000800
Fusarium216|2800141	Fusre1|541619
Fusarium216|3568500114	Fusre1|658104
Root1298|4532	Root1312|4279
Root1298|4532	Root74|3796
Root1298|4532	Root954|479
Fusarium216|100934	Fusre1|532478
Root559|3548	Root667|2749
Root1298|3278	Root1312|3494
Root1298|3278	Root74|3589
Root1298|3278	Root954|2280
Plecto143|5890039	Plecuc1|24035
Fusarium13|15800296	Fusarium226|207001448
Fusarium216|1001043	Fusre1|532576
Fusarium216|3568000669	Fusre1|684471
Plecto143|2890060	Plecuc1|340421
Root1298|3257	Root1312|3473
Root1298|3257	Root74|3568
Root1298|3257	Root954|2259
Root559|2965	Root667|3599
Fusarium216|780041	Fusre1|628710
Fusarium216|356870038	Fusre1|211018
Plecto143|960029	Plecuc1|67382
Verdah1|486610	Verdah1|495715
Verdah1|486610	Verdah1|507929
Fusarium216|2800341	Fusre1|517340
Root1298|5848	Root1312|2576
Root1298|5848	Root74|5496
Root1298|5848	Root954|4318
Fusarium13|1400453	Fusarium226|21600334
Fusarium216|3569300377	Fusre1|569995
Root1298|2220	Root1312|2321
Root1298|2220	Root74|2225
Root1298|2220	Root954|1859
Fusarium13|3800236	Fusarium226|3700357
Fusarium216|4500530	Fusre1|692321
Plecto143|85797008	Plecto143|85796003
Root423|2483	Root558|1339
Root1298|4672	Root1312|4418
Root1298|4672	Root74|3935
Root1298|4672	Root954|340
Dacma1|916988	Dacma1|933714
Plecto143|74260033	Plecuc1|112485
Plecto143|74210057	Plecuc1|77448
Root1298|5456	Root1312|5202
Root1298|5456	Root74|4880
Root1298|5456	Root954|5135
Fusarium216|600623	Fusre1|238995
Fusarium216|3568000649	Fusre1|684452
Root1298|357	Root1312|357
Root1298|357	Root423|353
Root1298|357	Root558|356
Root1298|357	Root74|357
Root1298|357	Root954|5589
Fusarium13|2000413	Fusarium226|1800809
Root1298|3560	Root1312|3905
Root1298|3560	Root74|3206
Root1298|3560	Root954|960
Root1298|678	Root1312|677
Root1298|678	Root74|679
Root1298|678	Root954|2579
Fusarium13|15800346	Fusarium216|2600388
Fusarium13|15800346	Fusarium226|70012
Fusarium216|4100488	Fusre1|212316
Fusarium216|1100689	Fusre1|687961
Fusarium216|1001012	Fusre1|588486
Plecto143|16700108	Plecto143|16700107
Plecto143|16700108	Plecto143|584003
Fusarium13|300826	Fusarium226|1000744
Verdah1|386948	Verdah1|435962
Fusarium216|180021	Fusre1|336863
Root423|5791	Root558|836
Fusarium13|1700860	Fusarium226|20700848
Fusarium216|3000804	Fusre1|254827
Root1298|3170	Root1312|3386
Root1298|3170	Root74|3481
Root1298|3170	Root954|2172
Root1298|1179	Root1312|1177
Root1298|1179	Root74|1214
Root1298|1179	Root954|5997
Fusarium13|2600749	Fusarium226|4000334
Root1433D1|560	Root322|1500
Fusarium13|2000835	Fusarium226|1800396
Fusarium216|1001123	Fusre1|588562
Fusarium13|14270001285	Fusarium226|210001281
Fusarium216|240048	Fusre1|696636
Fusarium216|220082	Fusre1|698283
Fusarium216|800933	Fusre1|505094
Root1298|4219	Root1312|5459
Root1298|4219	Root74|5600
Root1298|4219	Root954|3619
Fusarium216|1800177	Fusre1|507513
Root1298|3158	Root1312|3374
Root1298|3158	Root423|1062
Root1298|3158	Root558|1735
Root1298|3158	Root74|3469
Root1298|3158	Root954|2160
Root423|5922	Root558|3405
Fusarium216|2600412	Fusre1|571915
Root423|57	Root558|60
Root1298|5554	Root1312|5300
Root1298|5554	Root74|4978
Root1298|5554	Root954|5233
Fusarium13|2600730	Fusarium226|4000353
Fusarium216|800420	Fusre1|536029
Fusarium216|5300136	Fusre1|578258
Fusarium216|1800104	Fusre1|538226
Root1298|6990	Root1312|6964
Root1298|6990	Root74|6961
Root1298|6990	Root954|5775
Stael1|445162	Stael1|447414
Plecto143|1220076	Plecuc1|249634
Root423|1470	Root558|5213
Fusarium13|50006	Fusarium226|57007
Fusarium216|3000118	Fusre1|536605
Plecto143|1724002	Plecto143|14040066
Plecto143|377006	Plecuc1|246291
Root423|6096	Root558|3198
Ilyeu1|506418	Neora1|825810
Fusarium216|6100286	Fusre1|596773
Root1298|2759	Root1312|2978
Root1298|2759	Root74|2681
Root1298|2759	Root954|4
Plecto143|741200242	Plecto143|741200237
Plecto143|741200242	Plecto143|20003
Plecto143|121005	Plecto143|121008
Plecto143|121005	Plecto143|370015
Fusarium216|1100852	Fusre1|505629
Plecto143|742600200	Plecto143|931002
Plecto143|742600200	Plecto143|925001
Plecto143|3140053	Plecto143|3140058
Plecto143|3140053	Plecto143|773003
Fusarium216|500024	Fusarium226|540021
Fusarium216|2800613	Fusre1|546673
Root1298|190	Root1312|190
Root1298|190	Root74|190
Root1298|190	Root954|5422
Fusarium216|6600111	Fusre1|743047
Fusarium13|2600765	Fusarium226|4000318
Fusarium216|100860	Fusre1|682854
Root1298|836	Root1312|835
Root1298|836	Root74|837
Root1298|836	Root954|2423
Root1298|1963	Root1312|2018
Root1298|1963	Root74|1969
Root1298|1963	Root954|4791
Fusarium216|1100647	Fusre1|687999
Fusarium216|1100281	Fusre1|542234
Root1298|894	Root1312|893
Root1298|894	Root74|895
Root1298|894	Root954|2365
Fusarium13|17001117	Fusarium226|207001100
Root423|2565	Root558|1419
Root423|6149	Root558|3145
Fusarium13|3001096	Fusarium226|10001009
Root1298|2404	Root1312|2504
Root1298|2404	Root74|2408
Root1298|2404	Root954|2043
Fusarium216|800382	Fusre1|608402
Fusarium216|2200385	Fusre1|512114
Fusarium13|1427500367	Fusarium226|500584
Root1298|3866	Root1312|6490
Root1298|3866	Root74|5954
Root1298|3866	Root954|2748
Fusarium216|1100668	Fusre1|537375
Plecto143|741500198	Plecuc1|282360
Root423|3693	Root558|4509
Root1298|5097	Root1312|4843
Root1298|5097	Root74|4520
Root1298|5097	Root954|4002
Plecto143|203002	Plecto143|4300141
Plecto143|203002	Plecto143|4300138
Fusarium216|3568200609	Fusre1|351392
Root1298|4357	Root1312|4104
Root1298|4357	Root74|3620
Root1298|4357	Root954|3053
Fusarium216|600769	Fusre1|557595
Fusarium216|1100161	Fusre1|575809
Fusarium216|800825	Fusre1|735606
Fusarium216|5300252	Fusre1|577980
Plecto143|10007	Plecuc1|297713
Root423|4660	Root558|1065
Plecto143|741500257	Plecuc1|329330
Fusarium13|3800667	Fusarium226|3700778
Root1298|1708	Root1312|1763
Root1298|1708	Root423|5482
Root1298|1708	Root74|4368
Root1298|1708	Root954|6766
Root1298|2340	Root1312|2440
Root1298|2340	Root74|2344
Root1298|2340	Root954|1979
Fusarium216|450037	Fusre1|572885
Verdah1|446994	Verdah1|510362
Root1298|4864	Root1312|4609
Root1298|4864	Root74|4127
Root1298|4864	Root954|4411
Root1298|854	Root1312|853
Root1298|854	Root74|855
Root1298|854	Root954|2405
Fusarium216|3568200923	Fusre1|510376
Root1298|5286	Root1312|5032
Root1298|5286	Root74|4709
Root1298|5286	Root954|4192
Plecto143|4827001	Plecto143|19560049
Plecto143|4827001	Plecto143|7637008
Fusarium13|17001132	Fusarium226|207001116
Fusarium216|2200506	Fusre1|690229
Fusarium216|1800820	Fusre1|563488
Fusarium216|1001535	Fusre1|588864
Root1298|3403	Root1312|3748
Root1298|3403	Root74|3051
Root1298|3403	Root954|1115
Plecto143|742600129	Plecuc1|111111
Root1433D1|1092	Root322|2019
Fusarium216|3568200216	Fusre1|510092
Fusarium216|4100109	Fusre1|589003
Morel_U14_1|253690	Morel_U14_1|299040
Root423|2986	Root558|2328
Fusarium13|4300209	Fusarium226|3100969
Root423|2836	Root558|2178
Root423|1884	Root558|2936
Fusarium13|3100107	Fusarium226|3400145
Fusarium216|280053	Fusre1|541537
Root1298|3254	Root1312|3470
Root1298|3254	Root74|3565
Root1298|3254	Root954|2256
Fusarium13|1427000971	Fusarium226|21000969
Root1298|431	Root1312|431
Root1298|431	Root74|431
Root1298|431	Root954|5663
Fusarium216|2400114	Fusre1|208226
